Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14127546	BRCA1	BRCA1 DNA repair associated	protein-coding		ISO	12	19,788,087	19,854,515	RGD	RGD	PMID:16498454 PMID:24326623 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12588030	Brca1	BRCA1 DNA repair associated	protein-coding		ISO	NW_004936490	17,735,444	17,801,456	RGD	RGD	PMID:16498454 PMID:24326623 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12124452	BRCA1	BRCA1 DNA repair associated	protein-coding		ISO	 9	19,958,941	20,025,494	RGD	RGD	PMID:16498454 PMID:24326623 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11890781	BRCA1	BRCA1 DNA repair associated	protein-coding		ISO	17	14,197,946	14,279,064	RGD	RGD	PMID:16498454 PMID:24326623 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8979663	Brca1	BRCA1 DNA repair associated	protein-coding		ISO	NW_004955451	16,819,463	16,870,780	RGD	RGD	PMID:16498454 PMID:24326623 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	2218	Brca1	BRCA1, DNA repair associated	protein-coding		ISO	10	86,417,441	86,477,762		RGD	 PMID:16498454 PMID:24326623	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	10246	Brca1	breast cancer 1, early onset	protein-coding		ISO	11	101,379,587	101,442,808		RGD	 PMID:16498454 PMID:24326623	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	69132	BRCA1	BRCA1 DNA repair associated	protein-coding		TAS	17	43,044,295	43,170,327		RGD	 PMID:16498454 PMID:24326623	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18935257	Brca2	BRCA2 DNA repair associated	protein-coding		ISO	NW_004624776	5,497,552	5,573,465	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18673188	BRCA2	BRCA2 DNA repair associated	protein-coding		ISO	 3	11,070,086	11,155,257	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13893235	BRCA2	BRCA2 DNA repair associated	protein-coding		ISO	11	8,805,950	8,858,128	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12437451	Brca2	BRCA2 DNA repair associated	protein-coding		ISO	NW_004936472	26,945,659	27,017,693	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12098097	BRCA2	BRCA2 DNA repair associated	protein-coding		ISO	25	7,734,450	7,797,851	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12017566	BRCA2	BRCA2 DNA repair associated	protein-coding		ISO	13	13,574,422	13,658,967	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8999503	Brca2	BRCA2 DNA repair associated	protein-coding		ISO	NW_004955431	13,449,287	13,526,878	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	2219	Brca2	BRCA2, DNA repair associated	protein-coding		ISO	12	59,492	103,789	KEGG	KEGG,RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	10247	Brca2	breast cancer 2, early onset	protein-coding		ISO	 5	150,445,759	150,493,612	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	736254	BRCA2	BRCA2 DNA repair associated	protein-coding		TAS	13	32,315,508	32,400,268	KEGG	KEGG,RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18918435	Dna2	DNA replication helicase/nuclease 2	protein-coding		ISO	NW_004624754	2,746,912	2,791,560	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18647654	DNA2	DNA replication helicase/nuclease 2	protein-coding		ISO	 9	62,926,221	62,985,843	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14098355	DNA2	DNA replication helicase/nuclease 2	protein-coding		ISO	14	71,550,405	71,607,067	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12601760	Dna2	DNA replication helicase/nuclease 2	protein-coding		ISO	NW_004936521	9,843,867	9,884,248	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12265949	DNA2	DNA replication helicase/nuclease 2	protein-coding		ISO	 4	19,626,001	19,683,819	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8887962	Dna2	DNA replication helicase/nuclease 2	protein-coding		ISO	NW_004955425	20,664,412	20,705,070	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1306791	Dna2	DNA replication helicase/nuclease 2	protein-coding		ISO	20	25,661,652	25,690,598		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1622846	Dna2	DNA replication helicase/nuclease 2	protein-coding		ISO	10	62,782,762	62,809,967		RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315606	DNA2	DNA replication helicase/nuclease 2	protein-coding		TAS	10	68,414,064	68,472,521		RGD	 PMID:20690856	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1309067	Eme1	essential meiotic structure-specific endonuclease 1	protein-coding		IEA	10	79,586,718	79,595,515	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1618849	Eme1	essential meiotic structure-specific endonuclease 1	protein-coding		IEA	11	94,535,798	94,544,611	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319200	EME1	essential meiotic structure-specific endonuclease 1	protein-coding		IEA	17	50,373,229	50,381,483	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18901239	Exo1	exonuclease 1	protein-coding		ISO	NW_004624771	12,215,957	12,230,908	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18686116	EXO1	exonuclease 1	protein-coding		ISO	25	78,934,337	78,976,346	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13863670	EXO1	exonuclease 1	protein-coding		ISO	10	15,317,555	15,360,593	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12722068	Exo1	exonuclease 1	protein-coding		ISO	NW_004936526	8,570,488	8,627,004	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12230012	EXO1	exonuclease 1	protein-coding		ISO	 7	33,237,124	33,268,835	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12048917	EXO1	exonuclease 1	protein-coding		ISO	 1	217,410,175	217,451,982	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8774641	Exo1	exonuclease 1	protein-coding		ISO	NW_004955406	10,248,981	10,276,207	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1309465	Exo1	exonuclease 1	protein-coding		ISO	13	87,809,725	87,834,654		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319821	Exo1	exonuclease 1	protein-coding		ISO	 1	175,708,334	175,738,962		RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319820	EXO1	exonuclease 1	protein-coding		TAS	 1	241,847,986	241,889,939		RGD	 PMID:20690856	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11804260	LOC100981957	solute carrier family 25 member 16	protein-coding		ISO	10	64,898,024	64,956,541	RGD	RGD	PMID:20690856 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18914734	Mre11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	NW_004624735	39,095,559	39,153,936	RGD	RGD	PMID:16498454 PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18486025	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	 1	85,615,448	85,694,247	RGD	RGD	PMID:16498454 PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14001478	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	 9	26,572,352	26,634,596	RGD	RGD	PMID:16498454 PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12659443	Mre11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	NW_004936674	466,495	528,072	RGD	RGD	PMID:16498454 PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12411998	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	21	6,448,909	6,528,185	RGD	RGD	PMID:16498454 PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11675253	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding		ISO	11	89,418,537	89,500,705	RGD	RGD	PMID:16498454 PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	69263	Mre11	MRE11 homolog, double strand break repair nuclease	protein-coding		IEA	 8	11,618,876	11,680,451	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1344886	MRE11	MRE11 homolog, double strand break repair nuclease	protein-coding		IEA	11	94,415,570	94,512,412	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	735478	Mre11a	MRE11A homolog A, double strand break repair nuclease	protein-coding		IEA	 9	14,695,971	14,748,421	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1311957	Mus81	MUS81 structure-specific endonuclease subunit	protein-coding		IEA	 1	202,790,295	202,796,008	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1323680	Mus81	MUS81 structure-specific endonuclease subunit	protein-coding		IEA	19	5,532,589	5,538,461	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1323679	MUS81	MUS81 structure-specific endonuclease subunit	protein-coding		IEA	11	65,859,674	65,867,653	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18936520	Nbn	nibrin	protein-coding		ISO	NW_004624744	2,013,936	2,061,726	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18632334	NBN	nibrin	protein-coding		ISO	 8	85,017,807	85,069,219	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13894335	NBN	nibrin	protein-coding		ISO	 4	46,787,664	46,854,331	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12632895	Nbn	nibrin	protein-coding		ISO	NW_004936544	3,773,828	3,812,673	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12306887	NBN	nibrin	protein-coding		ISO	29	35,416,093	35,477,569	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11715406	NBN	nibrin	protein-coding		ISO	 8	86,622,797	86,674,202	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8911931	Nbn	nibrin	protein-coding		ISO	NW_004955417	6,840,916	6,880,479	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	621420	Nbn	nibrin	protein-coding		IEA	 5	29,459,574	29,494,152	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	732723	Nbn	nibrin	protein-coding		IEA	 4	15,955,388	15,992,589	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1348611	NBN	nibrin	protein-coding		TAS	 8	89,933,331	89,984,667	KEGG	KEGG,RGD	 PMID:20690856	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	621839	Pold1	DNA polymerase delta 1, catalytic subunit	protein-coding		IEA	 1	95,025,462	95,041,559	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	734077	Pold1	polymerase (DNA directed), delta 1, catalytic subunit	protein-coding		IEA	 7	44,182,168	44,198,239	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	734076	POLD1	DNA polymerase delta 1, catalytic subunit	protein-coding		IEA	19	50,384,323	50,418,018	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1304954	Pold2	DNA polymerase delta 2, accessory subunit	protein-coding		IEA	14	80,748,971	80,755,188	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1312694	Pold2	polymerase (DNA directed), delta 2, regulatory subunit	protein-coding		IEA	11	5,822,180	5,828,256	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1312693	POLD2	DNA polymerase delta 2, accessory subunit	protein-coding		IEA	 7	44,114,680	44,124,325	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1312027	Pold3	DNA polymerase delta 3, accessory subunit	protein-coding		IEA	 1	154,417,893	154,456,687	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1323796	Pold3	polymerase (DNA-directed), delta 3, accessory subunit	protein-coding		IEA	 7	99,731,317	99,770,709	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1323795	POLD3	DNA polymerase delta 3, accessory subunit	protein-coding		IEA	11	74,592,582	74,669,341	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1308519	Pold4	DNA polymerase delta 4, accessory subunit	protein-coding		IEA	 1	201,526,591	201,528,406	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1318337	Pold4	polymerase (DNA-directed), delta 4	protein-coding		IEA	19	4,281,947	4,283,688	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1318336	POLD4	DNA polymerase delta 4, accessory subunit	protein-coding		IEA	11	67,350,765	67,353,596	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18911181	Rad50	RAD50 double strand break repair protein	protein-coding		ISO	NW_004624733	39,445,083	39,544,415	RGD	RGD	PMID:16498454 PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18741933	RAD50	RAD50 double strand break repair protein	protein-coding		ISO	23	35,375,206	35,458,801	RGD	RGD	PMID:16498454 PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14087276	RAD50	RAD50 double strand break repair protein	protein-coding		ISO	 2	134,844,460	134,939,188	RGD	RGD	PMID:16498454 PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12726738	Rad50	RAD50 double strand break repair protein	protein-coding		ISO	NW_004936647	2,546,100	2,637,524	RGD	RGD	PMID:16498454 PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12374749	RAD50	RAD50 double strand break repair protein	protein-coding		ISO	11	20,836,863	20,928,930	RGD	RGD	PMID:16498454 PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12006413	RAD50	RAD50 double strand break repair protein	protein-coding		ISO	 5	127,972,630	128,059,911	RGD	RGD	PMID:16498454 PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8756295	Rad50	RAD50 double strand break repair protein	protein-coding		ISO	NW_004955408	3,953,801	4,035,494	RGD	RGD	PMID:16498454 PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	621542	Rad50	RAD50 double strand break repair protein	protein-coding		IEA	10	37,809,353	37,861,309	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	733900	Rad50	RAD50 double strand break repair protein	protein-coding		IEA	11	53,540,346	53,598,146	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	733899	RAD50	RAD50 double strand break repair protein	protein-coding		IEA	 5	132,556,977	132,646,349	KEGG	RGD,KEGG	 PMID:16498454 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18922673	Rad51	RAD51 recombinase	protein-coding		ISO	NW_004624804	7,957,175	7,983,078	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18563989	RAD51	RAD51 recombinase	protein-coding		ISO	26	42,281,085	42,319,394	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14000280	RAD51	RAD51 recombinase	protein-coding		ISO	 1	130,592,414	130,640,326	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12534638	Rad51	RAD51 recombinase	protein-coding		ISO	NW_004936471	4,119,020	4,136,811	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12123727	RAD51	RAD51 recombinase	protein-coding		ISO	30	7,842,540	7,877,128	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12014710	RAD51	RAD51 recombinase	protein-coding		ISO	15	19,638,310	19,672,474	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	9037256	Rad51	RAD51 recombinase	protein-coding		ISO	NW_004955416	7,566,715	7,590,628	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1563603	Rad51	RAD51 recombinase	protein-coding		ISO	 3	106,099,753	106,125,038	KEGG	KEGG,RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1316728	Rad51	RAD51 recombinase	protein-coding		ISO	 2	118,943,295	118,966,554	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1316727	RAD51	RAD51 recombinase	protein-coding		TAS	15	40,694,733	40,732,340	KEGG	KEGG,RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18908602	Rad51b	RAD51 paralog B	protein-coding		ISO	NW_004624734	32,560,579	33,173,357	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18415176	RAD51B	RAD51 paralog B	protein-coding		ISO	24	45,056,485	45,704,394	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13993290	RAD51B	RAD51 paralog B	protein-coding		ISO	 7	91,592,413	92,301,383	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12576208	Rad51b	RAD51 paralog B	protein-coding		ISO	NW_004936495	11,185,560	11,762,254	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12264952	RAD51B	RAD51 paralog B	protein-coding		ISO	 8	41,779,435	42,357,362	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11746696	RAD51B	RAD51 paralog B	protein-coding		ISO	14	48,399,345	49,314,577	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8959727	Rad51b	RAD51 paralog B	protein-coding		ISO	NW_004955466	1,686,472	2,388,146	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1560681	Rad51b	RAD51 paralog B	protein-coding		ISO	 6	98,096,525	98,640,988		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1557356	Rad51b	RAD51 paralog B	protein-coding		ISO	12	79,344,032	79,895,034	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1344706	RAD51B	RAD51 paralog B	protein-coding		TAS	14	67,819,779	68,683,096		RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18928320	Rad51c	RAD51 paralog C	protein-coding		ISO	NW_004624871	708,048	746,753	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18531625	RAD51C	RAD51 paralog C	protein-coding		ISO	16	34,666,934	34,708,479	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14244416	RAD51C	RAD51 paralog C	protein-coding		ISO	12	34,975,949	35,018,112	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12677186	Rad51c	RAD51 paralog C	protein-coding		ISO	NW_004936490	4,440,638	4,473,301	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12244999	RAD51C	RAD51 paralog C	protein-coding		ISO	 9	33,289,675	33,347,411	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11917785	RAD51C	RAD51 paralog C	protein-coding		ISO	17	52,769,446	52,808,467	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8828295	Rad51c	RAD51 paralog C	protein-coding		ISO	NW_004955451	4,053,195	4,178,226	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1563765	Rad51c	RAD51 paralog C	protein-coding		ISO	10	72,205,032	72,231,643	KEGG	KEGG,RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1557876	Rad51c	RAD51 paralog C	protein-coding		ISO	11	87,267,471	87,295,780	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1350974	RAD51C	RAD51 paralog C	protein-coding		TAS	17	58,692,573	58,735,611	KEGG	KEGG,RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18900305	Rad51d	RAD51 paralog D	protein-coding		ISO	NW_004624875	2,972,739	2,987,360	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18562751	RAD51D	RAD51 paralog D	protein-coding		ISO	16	28,603,326	28,623,120	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12684447	Rad51d	RAD51 paralog D	protein-coding		ISO	NW_004936538	119,409	132,830	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12087896	RAD51D	RAD51 paralog D	protein-coding		ISO	 9	38,242,178	38,259,788	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11975856	RAD51D	RAD51 paralog D	protein-coding		ISO	17	21,666,236	21,693,886	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	9033835	Rad51d	RAD51 paralog D	protein-coding		ISO	NW_004955481	9,795,102	9,810,426	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1306944	Rad51d	RAD51 paralog D	protein-coding		ISO	10	67,805,720	67,824,452		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315847	Rad51d	RAD51 paralog D	protein-coding		ISO	11	82,762,786	82,781,571	KEGG	KEGG,RGD	 PMID:20690856	
